507    15
1007     6
1507     7
2007    30
2507    12
3007    22
3507    14
4007    34
4507    17
5007    18
5507    17
6007    18
6507    18
7007    20
7507    25
8007    28
8507    30
9007    30
9507    32
10007    36
10507    35
11007    34
11507    37
12007    25
12507    26
13007    29
13507    25
14007    28
14507    27
15007    30
15507    27
16007    30
16507    28
17007    28
17507    29
18007    33
18507    36
19007    34
19507    33
20007    39
20507    41
21007    38
21507    94
22007    39
22507    41
23007    43
23507    43
24007    45
24507    44
25007    47
25507    51
26007    46
26507    51
27007    51
27507    52
28007    53
28507    61
29007    59
29507    61
30007    60
30507    56
31007    60
31507    60
32007    60
32507    61
33007    69
33507    68
34007    74
34507    66
35007    64
35507    70
36007    71
36507    74
37007    66
37507    74
38007    74
38507    74
39007    80
39507    75
40007    74
40507    76
41007    81
41507    75
42007    83
42507    80
43007    85
43507    79
44007    88
44507    87
45007    83
45507    90
46007    92
46507   100
47007    88
47507    91
48007   104
48507    96
49007   101
49507   100
50007    92
